26.9,94.6,5,"[47,100,84,85,77]"
26.84,94.44,5,"[47,100,89,40,99]"
35.99,189.34,10,"[47,100,54,84,42,58,76,25,85,56]"
34.89,200.61,10,"[47,100,77,58,42,84,57,90,68,44]"
45.45,276.18,15,"[47,100,84,40,89,77,38,78,69,99,85,101,14,57,24]"
45.67,280.67,15,"[47,100,77,101,97,43,67,99,5,69,29,26,87,57,38]"
52.14,360.01,20,"[47,100,84,77,57,53,39,44,58,86,102,104,55,38,99,14,67,78,29,25]"
53.28,361.09,20,"[100,47,99,68,97,69,40,87,56,77,89,82,102,18,85,38,104,55,36,32]"
57.95,427.52,25,"[47,100,84,40,77,82,86,38,85,69,57,99,101,32,78,68,91,55,80,103,83,44,95,89,102]"
60.01,456.17,25,"[100,47,97,101,58,78,42,29,99,89,54,104,53,40,55,38,77,57,102,21,98,88,14,16,25]"
65.87,505.39,30,"[100,47,89,99,54,82,68,39,44,53,50,104,57,7,97,5,77,16,102,101,29,103,43,37,18,32,91,25,38,92]"
64.28,495.39,30,"[47,100,82,77,85,54,99,98,83,45,44,38,89,69,57,86,95,55,21,18,102,52,15,29,94,17,35,5,97,68]"
69.93,609.89,35,"[47,100,99,40,79,69,76,39,101,97,25,92,53,77,56,89,78,21,85,38,102,67,83,29,54,55,33,63,96,104,80,57,5,36,26]"
68.39,608.24,35,"[100,47,89,87,38,82,69,40,78,57,99,19,54,85,102,95,104,5,76,97,61,92,43,36,62,64,49,14,55,77,18,32,37,67,44]"
75.19,684.95,40,"[100,47,78,40,89,97,93,92,69,68,15,82,99,43,5,38,77,104,56,52,102,57,44,98,18,21,103,85,32,54,88,101,53,81,61,55,36,90,95,96]"
75.06,638.39,40,"[100,47,97,77,54,99,104,38,91,101,53,68,43,25,6,82,57,41,102,21,85,89,42,87,78,44,63,27,45,22,55,65,51,16,28,67,80,92,18,69]"
